URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37.0,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,66,34,0.32,0.1,12.4,0.25,5.0600000000000005,12.42,246,969,2.303405572755418,1.0,5.566337719298246
38.0,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,58,37,0.22,0.17,6.8,0.23,2.8120000000000003,6.79,126,550,2.1563636363636363,7.0,4.733425414364641
39.0,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,65,35,0.3,0.12,9.6,0.26,3.944,9.59,217,825,2.3842424242424243,3.0,5.36664729808251
40.0,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,66,28,0.4,0.15,6.5,0.22,2.688,6.52,136,626,2.193290734824281,17.0,4.794313369630974
41.0,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,60,27,0.38,0.12,9.4,0.24,3.8560000000000003,9.39,181,751,2.270306258322237,16.0,5.028016009148085
42.0,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,45,25,0.29,0.13,8.5,0.26,3.504,8.49,146,552,2.2355072463768115,21.0,4.954510993176649
43.0,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,22,11,0.33,0.1,7.1,0.23,2.9320000000000004,7.11,74,327,2.1743119266055047,7.0,5.040322580645161
44.0,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0,0,0.0,0.0,,,,,0,0,,,
45.0,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,33,13,0.43,0.15,8.4,0.17,3.4280000000000004,8.43,54,312,2.0288461538461537,2.0,4.734584450402145
46.0,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,65,34,0.31,0.11,11.1,0.22,4.5280000000000005,11.11,202,911,2.221734357848518,11.0,4.822727272727272
47.0,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,50,58,-0.07,0.11,9.0,0.17,3.668,9.04,157,949,2.1211801896733404,1.0,4.977495107632094
48.0,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,33,23,0.18,0.1,9.9,0.24,4.056,9.9,140,584,2.3904109589041096,10.0,5.467382328654005
49.0,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,33,29,0.06,0.11,6.8,0.22,2.808,6.82,122,566,2.166077738515901,6.0,4.941129032258065
50.0,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,60,24,0.43,0.13,10.1,0.22,4.128,10.14,145,649,2.3451463790446843,33.0,4.762233736327
51.0,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,68,22,0.51,0.13,8.4,0.24,3.4560000000000004,8.43,170,708,2.2768361581920904,11.0,5.027124773960217
52.0,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,24,0,1.0,0.1,10.8,0.25,4.420000000000001,10.83,62,249,2.325301204819277,0.0,5.328214971209213
53.0,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,77,39,0.33,0.17,67.5,0.24,27.096,67.5,159,675,2.180740740740741,15.0,4.699182561307902
54.0,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,24,0,1.0,0.05,7.9,0.18,3.232,7.89,82,450,2.2377777777777776,0.0,5.119096509240246
55.0,https://insights.blackcoffer.com/evolution-of-advertising-industry/,15,5,0.5,0.06,8.6,0.22,3.5280000000000005,8.57,78,360,2.422222222222222,1.0,5.438957475994513
56.0,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,3,4,-0.14,0.05,11.2,0.24,4.576,11.23,35,146,2.3013698630136985,2.0,5.27710843373494
57.0,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,0,0,0.0,0.0,,,,,0,0,,,
58.0,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,24,69,-0.48,0.15,11.2,0.2,4.56,11.18,128,637,2.1177394034536894,2.0,5.0525179856115106
59.0,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,16,14,0.07,0.1,10.2,0.26,4.184,10.23,79,307,2.1661237785016287,4.0,4.8963165075034105
60.0,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,57,42,0.15,0.13,6.8,0.18,2.792,6.83,140,765,2.257516339869281,10.0,4.830612244897959
61.0,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,40,3,0.86,0.13,7.2,0.23,2.9720000000000004,7.25,73,319,2.175548589341693,4.0,5.095168374816984
62.0,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,4,1,0.6,0.03,10.6,0.17,4.308,10.61,33,191,1.8848167539267016,0.0,4.871536523929471
63.0,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,25,9,0.47,0.07,10.4,0.17,4.228000000000001,10.38,88,519,2.0077071290944124,4.0,4.762316335350043
64.0,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,24,8,0.5,0.1,13.0,0.3,5.32,13.0,96,325,2.2615384615384615,1.0,5.334384858044164
65.0,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,14,9,0.22,0.16,5.1,0.25,2.14,5.1,37,148,2.25,0.0,5.143939393939394
66.0,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,4,0,1.0,0.05,7.1,0.27,2.948,7.08,23,85,2.458823529411765,2.0,5.457831325301205
67.0,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,19,37,-0.32,0.17,5.7,0.19,2.3560000000000003,5.68,62,324,1.9969135802469136,19.0,4.5738095238095235
68.0,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,5,2,0.43,0.09,7.4,0.22,3.048,7.36,18,81,2.0987654320987654,1.0,4.832460732984293
69.0,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,53,18,0.49,0.12,10.0,0.24,4.096,9.95,144,607,2.382207578253707,0.0,5.583333333333333
70.0,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,7,18,-0.44,0.11,11.1,0.26,4.544,11.14,60,234,2.230769230769231,10.0,4.907775768535262
71.0,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,21,37,-0.28,0.13,8.6,0.19,3.516,8.6,86,447,2.203579418344519,7.0,4.781481481481482
72.0,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,26,49,-0.31,0.09,10.7,0.28,4.3919999999999995,10.67,222,800,2.35125,16.0,5.274074074074074
73.0,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,43,22,0.32,0.1,9.8,0.23,4.0120000000000005,9.77,154,684,2.064327485380117,20.0,4.704313280363223
74.0,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,32,24,0.14,0.09,7.2,0.23,2.9720000000000004,7.17,139,595,2.053781512605042,18.0,4.791638108293352
75.0,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,24,7,0.55,0.1,4.9,0.22,2.048,4.94,67,311,2.144694533762058,1.0,4.503893214682981
76.0,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,40,7,0.7,0.1,7.4,0.21,3.0440000000000005,7.38,104,487,2.1170431211498975,4.0,4.460426703372333
77.0,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,27,6,0.64,0.2,9.5,0.28,3.912,9.47,45,161,2.3354037267080745,8.0,4.652083333333334
78.0,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,39,16,0.42,0.08,9.8,0.24,4.016000000000001,9.8,165,696,2.30316091954023,8.0,5.032
79.0,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,23,74,-0.53,0.25,4.9,0.22,2.048,4.95,85,386,2.0492227979274613,13.0,4.619279454722493
80.0,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,56,23,0.42,0.18,5.6,0.12,2.288,5.64,55,440,1.8954545454545455,5.0,4.48561464690497
81.0,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,24,46,-0.31,0.13,11.8,0.14,4.776000000000001,11.81,80,555,1.9747747747747748,2.0,4.88842631140716
82.0,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,30,24,0.11,0.08,8.2,0.22,3.3680000000000003,8.22,152,682,2.3211143695014664,9.0,5.1088904203997245
83.0,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,23,83,-0.57,0.26,5.2,0.23,2.172,5.15,93,412,2.058252427184466,15.0,4.651851851851852
84.0,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,37,35,0.03,0.12,11.1,0.2,4.52,11.11,120,611,2.1538461538461537,5.0,4.798474253019708
85.0,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,23,13,0.28,0.1,14.9,0.2,6.04,14.92,70,358,2.1927374301675977,1.0,5.118028534370946
86.0,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,36,24,0.2,0.1,15.1,0.22,6.128,15.13,128,575,2.213913043478261,1.0,5.308909242298085
87.0,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,31,52,-0.25,0.11,10.2,0.2,4.159999999999999,10.2,154,755,2.0754966887417217,5.0,5.01915264074289
88.0,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,33,13,0.43,0.03,7.1,0.08,2.872,7.13,116,1397,1.8682891911238368,0.0,4.981458590852905
89.0,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,34,42,-0.11,0.1,9.0,0.21,3.6840000000000006,8.96,161,753,2.143426294820717,10.0,4.955742296918768
90.0,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,28,69,-0.42,0.12,13.3,0.23,5.412000000000001,13.3,182,798,2.18922305764411,0.0,5.481188118811882
91.0,https://insights.blackcoffer.com/human-rights-outlook/,3,3,0.0,0.09,6.4,0.23,2.6520000000000006,6.4,15,64,2.0625,2.0,4.614035087719298
92.0,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,30,4,0.76,0.08,9.2,0.17,3.7479999999999998,9.18,69,404,1.933168316831683,2.0,4.814358974358974
93.0,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,38,32,0.09,0.1,5.7,0.22,2.368,5.67,150,686,2.2784256559766765,6.0,4.8517520215633425
94.0,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,53,16,0.54,0.09,8.0,0.21,3.2840000000000007,8.0,161,760,2.143421052631579,5.0,4.941601779755284
95.0,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,29,33,-0.06,0.13,9.8,0.22,4.008000000000001,9.81,102,471,2.082802547770701,3.0,4.9684014869888475
96.0,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,17,41,-0.41,0.07,13.1,0.21,5.324000000000001,13.06,174,823,2.2952612393681653,1.0,5.210017074558907
97.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,14,42,-0.5,0.13,8.1,0.22,3.3280000000000003,8.09,94,429,2.191142191142191,6.0,4.975257731958763
98.0,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,32,48,-0.2,0.16,6.7,0.23,2.7720000000000002,6.67,113,500,2.1,37.0,4.793973941368078
99.0,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,21,27,-0.12,0.11,11.6,0.26,4.744,11.59,116,452,2.256637168141593,12.0,4.927862939585212
100.0,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,23,46,-0.33,0.11,10.2,0.23,4.172,10.23,139,614,2.096091205211726,3.0,5.170196078431372
101.0,https://insights.blackcoffer.com/travel-and-tourism-outlook/,3,3,0.0,0.09,5.5,0.21,2.2840000000000003,5.5,14,66,1.9545454545454546,2.0,4.416666666666667
102.0,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,24,43,-0.28,0.14,7.9,0.24,3.2560000000000002,7.87,115,472,2.0529661016949152,13.0,4.762376237623762
103.0,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,6,24,-0.6,0.1,8.0,0.2,3.28,8.0,57,288,2.0625,4.0,5.0308441558441555
104.0,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,25,54,-0.37,0.15,10.6,0.26,4.344,10.59,140,540,2.237037037037037,4.0,5.167690956979807
105.0,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,21,35,-0.25,0.14,10.6,0.18,4.312,10.55,73,401,2.082294264339152,7.0,4.662112932604736
106.0,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,6,3,0.33,0.05,15.2,0.25,6.18,15.23,50,198,2.217171717171717,0.0,5.448621553884712
107.0,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,12,3,0.6,0.06,7.9,0.18,3.232,7.94,46,254,1.9566929133858268,4.0,4.720661157024794
108.0,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,30,59,-0.33,0.18,15.2,0.26,6.184,15.24,131,503,2.2226640159045727,3.0,5.1981042654028435
109.0,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis/,25,26,-0.02,0.22,7.3,0.15,2.9800000000000004,7.31,35,234,1.7820512820512822,42.0,4.20708446866485
110.0,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding/,6,40,-0.74,0.1,9.8,0.22,4.008000000000001,9.75,104,468,2.002136752136752,0.0,5.151196172248804
111.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-2/,15,33,-0.37,0.1,8.8,0.17,3.5880000000000005,8.75,81,464,2.209051724137931,0.0,5.241610738255034
112.0,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-3/,28,53,-0.31,0.16,9.4,0.27,3.8680000000000003,9.41,135,508,2.09251968503937,3.0,5.1236917221693625
113.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-3/,22,36,-0.24,0.1,9.9,0.21,4.0440000000000005,9.91,115,555,2.1963963963963966,8.0,4.996830427892235
114.0,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work/,45,49,-0.04,0.14,9.5,0.18,3.872,9.54,123,677,2.070901033973412,4.0,4.793278376664553
115.0,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding-2/,23,45,-0.32,0.08,11.3,0.23,4.612000000000001,11.26,187,822,2.1666666666666665,4.0,5.061832490163013
116.0,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-4/,24,26,-0.04,0.16,26.7,0.14,10.736,26.67,45,320,1.70625,46.0,4.207718501702611
117.0,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-2/,39,80,-0.34,0.13,12.7,0.2,5.16,12.68,180,900,2.09,11.0,5.156720290607161
118.0,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-3/,30,56,-0.3,0.17,6.1,0.15,2.5,6.09,74,493,1.8215010141987829,7.0,4.50625
119.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-4/,8,14,-0.27,0.13,10.0,0.26,4.104,10.0,45,170,2.4235294117647057,1.0,5.5105740181268885
120.0,https://insights.blackcoffer.com/why-scams-like-nirav-modi-happen-with-indian-banks/,45,93,-0.35,0.13,11.8,0.21,4.804000000000001,11.76,218,1047,2.1680993314231136,6.0,5.140864714086471
121.0,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy/,33,64,-0.32,0.18,8.2,0.2,3.3599999999999994,8.22,106,534,1.9588014981273407,36.0,4.441358024691358
122.0,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy-2/,30,63,-0.35,0.13,8.2,0.21,3.3640000000000003,8.16,146,710,2.0873239436619717,12.0,4.862586605080831
123.0,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy-2/,38,83,-0.37,0.16,10.1,0.21,4.1240000000000006,10.08,159,766,2.1005221932114884,11.0,4.966850828729282
124.0,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-3/,48,78,-0.24,0.14,13.8,0.2,5.6000000000000005,13.79,188,924,2.1645021645021645,9.0,5.152095188825659
125.0,https://insights.blackcoffer.com/should-celebrities-be-allowed-to-join-politics/,53,19,0.47,0.09,12.2,0.24,4.976,12.15,187,790,2.19873417721519,2.0,5.093023255813954
126.0,https://insights.blackcoffer.com/how-prepared-is-india-to-tackle-a-possible-covid-19-outbreak/,16,25,-0.22,0.11,11.0,0.23,4.492,11.0,85,374,2.1390374331550803,3.0,4.997635933806147
127.0,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work/,41,95,-0.4,0.18,11.3,0.2,4.6000000000000005,11.35,153,749,2.1695594125500666,7.0,5.12453531598513
128.0,https://insights.blackcoffer.com/controversy-as-a-marketing-strategy/,31,50,-0.23,0.2,8.8,0.17,3.5880000000000005,8.78,69,404,2.0965346534653464,5.0,4.7519607843137255
129.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry/,5,29,-0.71,0.11,9.9,0.18,4.032,9.9,55,307,2.1302931596091206,1.0,5.263636363636364
130.0,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets/,21,63,-0.5,0.11,15.4,0.16,6.224,15.39,124,785,2.0573248407643314,3.0,5.128250591016548
131.0,https://insights.blackcoffer.com/what-are-the-key-policies-that-will-mitigate-the-impacts-of-covid-19-on-the-world-of-work/,86,32,0.46,0.13,12.4,0.24,5.056000000000001,12.37,207,878,2.143507972665148,0.0,5.095982142857143
132.0,https://insights.blackcoffer.com/marketing-drives-results-with-a-focus-on-problems/,27,23,0.08,0.08,10.4,0.18,4.232,10.35,109,621,2.0885668276972624,8.0,4.865743944636678
133.0,https://insights.blackcoffer.com/continued-demand-for-sustainability/,50,32,0.22,0.16,12.4,0.3,5.080000000000001,12.36,155,519,2.4816955684007707,0.0,5.747524752475248
134.0,https://insights.blackcoffer.com/coronavirus-disease-covid-19-effect-the-impact-and-role-of-mass-media-during-the-pandemic/,10,14,-0.17,0.12,13.7,0.28,5.592,13.73,58,206,2.354368932038835,4.0,5.552910052910053
135.0,https://insights.blackcoffer.com/should-people-wear-fabric-gloves-seeking-evidence-regarding-the-differential-transfer-of-covid-19-or-coronaviruses-generally-between-surfaces/,5,8,-0.23,0.1,7.9,0.13,3.2120000000000006,7.88,17,126,1.7619047619047619,7.0,4.436416184971098
136.0,https://insights.blackcoffer.com/why-is-there-a-severe-immunological-and-inflammatory-explosion-in-those-affected-by-sarms-covid-19/,0,21,-1.0,0.13,7.5,0.27,3.108,7.48,42,157,2.261146496815287,5.0,4.606280193236715
137.0,https://insights.blackcoffer.com/what-do-you-think-is-the-lesson-or-lessons-to-be-learned-with-covid-19/,4,6,-0.2,0.11,11.1,0.26,4.544,11.12,23,89,2.191011235955056,3.0,4.741525423728813
138.0,https://insights.blackcoffer.com/coronavirus-the-unexpected-challenge-for-the-european-union/,5,10,-0.33,0.14,7.1,0.34,2.976,7.07,36,106,2.19811320754717,8.0,4.890151515151516
139.0,https://insights.blackcoffer.com/industrial-revolution-4-0-pros-and-cons/,40,23,0.27,0.2,9.0,0.34,3.736,8.97,106,314,2.5031847133757963,2.0,5.582781456953643
140.0,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy/,15,54,-0.57,0.15,10.6,0.18,4.312,10.64,82,447,2.1185682326621924,0.0,5.003933136676499
141.0,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-2/,8,49,-0.72,0.15,11.2,0.2,4.56,11.24,76,382,2.115183246073298,4.0,4.838085539714868
142.0,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy/,36,70,-0.32,0.13,10.5,0.24,4.296,10.5,195,798,2.2293233082706765,1.0,5.075942350332594
143.0,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-global-economy/,5,25,-0.67,0.11,7.9,0.19,3.236,7.89,55,284,2.056338028169014,2.0,5.001589825119237
144.0,https://insights.blackcoffer.com/ensuring-growth-through-insurance-technology/,0,0,0.0,0.0,,,,,0,0,,,
145.0,https://insights.blackcoffer.com/blockchain-in-fintech/,15,16,-0.03,0.08,10.3,0.2,4.2,10.26,78,390,2.2256410256410257,2.0,5.145877378435518
146.0,https://insights.blackcoffer.com/blockchain-for-payments/,22,29,-0.14,0.12,8.6,0.27,3.548,8.62,115,431,2.125290023201856,9.0,5.158227848101266
147.0,https://insights.blackcoffer.com/the-future-of-investing/,36,15,0.41,0.07,10.9,0.2,4.44,10.9,136,687,2.1688500727802036,2.0,5.072916666666667
148.0,https://insights.blackcoffer.com/big-data-analytics-in-healthcare/,28,47,-0.25,0.13,8.6,0.21,3.5240000000000005,8.63,121,578,2.1833910034602075,2.0,5.031596925704526
149.0,https://insights.blackcoffer.com/business-analytics-in-the-healthcare-industry/,35,7,0.67,0.11,12.3,0.3,5.040000000000001,12.33,110,370,2.481081081081081,0.0,5.699029126213592
150.0,https://insights.blackcoffer.com/challenges-and-opportunities-of-big-data-in-healthcare/,31,40,-0.13,0.14,7.4,0.22,3.048,7.39,108,495,2.212121212121212,8.0,5.024644549763033
